PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
141, 1659473876, 0.8584219, 0.39275712, 0.20772211, -0.2563302, 0.041153263, 0.07613968, -0.07086754
142, 1659490543, 0.85850763, 0.3926671, 0.2077504, -0.25615805, 0.04933837, 0.032744117, -0.0853777
143, 1659507210, 0.8585962, 0.39260033, 0.20775214, -0.2559625, -1.6690232E-5, -0.015017139, -0.095059395
144, 1659523877, 0.8586724, 0.39256066, 0.20769674, -0.25581297, 0.0063659176, 0.057794306, -0.09089279
145, 1659540544, 0.85881585, 0.39239097, 0.20764089, -0.25563645, -0.0125065, 0.19865428, -0.06748581
146, 1659557211, 0.8590081, 0.3921315, 0.2075525, -0.25546053, -0.011436842, 0.22633448, -0.0723505
147, 1659573878, 0.85920066, 0.3918709, 0.2073848, -0.25534907, 0.005704075, 0.25984764, 0.015715599
148, 1659590545, 0.8593787, 0.391612, 0.2071931, -0.25530255, 0.02706696, 0.24520896, 0.05908585
149, 1659607212, 0.85955405, 0.39133424, 0.2069818, -0.2553097, 9.720102E-4, 0.1505498, -0.0053339005
150, 1659623879, 0.8597329, 0.39104724, 0.20678869, -0.25530377, -0.008117598, 0.021207444, -0.069257736
151, 1659640546, 0.8598546, 0.39087337, 0.20657149, -0.25533572, 0.044245288, -0.044815633, -0.05369377
152, 1659657213, 0.8598932, 0.39083058, 0.20641956, -0.2553942, 0.10417862, -0.09836551, -0.003751755
153, 1659673880, 0.85985214, 0.3908869, 0.2063465, -0.2555052, 0.12771888, -0.04752069, 0.01878834
154, 1659690547, 0.8597933, 0.3909153, 0.20638266, -0.25563058, 0.0843883, -0.010895345, 0.0031795502
155, 1659707214, 0.85972726, 0.3909418, 0.2064605, -0.25574937, -0.008600614, -0.022669002, 0.014131547
156, 1659723881, 0.8596219, 0.39099336, 0.20653853, -0.25596192, -0.018778503, 0.09939702, 0.091488846
157, 1659740548, 0.8595952, 0.39085725, 0.20669466, -0.25613344, -0.050991505, 0.20284294, 0.175869
158, 1659757215, 0.8596872, 0.3904968, 0.20693581, -0.25617975, -0.118885204, 0.12270507, 0.1810112
159, 1659773882, 0.85978925, 0.39013308, 0.20715855, -0.2562109, -0.19480762, -0.0051920936, 0.15483761
160, 1659790549, 0.859853, 0.3898817, 0.2073971, -0.2561871, -0.1613529, -0.016119696, 0.1572895
161, 1659807216, 0.8598377, 0.3897658, 0.2076438, -0.25621465, -0.111426264, -0.049038365, 0.10871888
162, 1659823883, 0.85974544, 0.38979527, 0.20789567, -0.25627485, -0.071798556, -0.01659568, 0.033934593
163, 1659840550, 0.85962653, 0.38988444, 0.20816971, -0.25631592, -0.09717019, -0.05546046, -0.0012140274
164, 1659857217, 0.8595196, 0.3899672, 0.20845099, -0.25632027, -0.09776062, -0.0525523, -0.0060501103
165, 1659873884, 0.85947824, 0.38993472, 0.20877025, -0.25624856, -0.13176829, -0.026118875, -0.032075882
166, 1659890551, 0.859472, 0.3898704, 0.20908858, -0.2561076, -0.17572583, -0.018263951, -0.03585625
167, 1659907218, 0.8593825, 0.39000836, 0.20935795, -0.2559775, -0.2004081, -0.006551206, -0.07282162
168, 1659923885, 0.8592056, 0.39035234, 0.20956087, -0.2558812, -0.20658174, 0.051792614, -0.10653496
169, 1659940552, 0.8590425, 0.39073566, 0.20971465, -0.2557176, -0.24292232, 0.18963666, -0.13104057
170, 1659957219, 0.8590225, 0.3908842, 0.20986632, -0.25543335, -0.23933499, 0.3120729, -0.11546898
171, 1659973886, 0.8591325, 0.3908348, 0.20998386, -0.25504193, -0.3305616, 0.23918512, -0.19707775
172, 1659990553, 0.85930157, 0.39070418, 0.21002084, -0.25464204, -0.28205281, 0.22947654, -0.16108418
173, 1660007220, 0.85956085, 0.3904329, 0.21004033, -0.25416648, -0.29792774, 0.1724164, -0.14918423
174, 1660023887, 0.8598795, 0.39009088, 0.21001534, -0.25363377, -0.34850484, 0.040276363, -0.18005371
175, 1660040554, 0.86025083, 0.38971537, 0.20994912, -0.25300616, -0.39379397, -0.0032708496, -0.15476322
176, 1660057221, 0.86074066, 0.38917112, 0.2098805, -0.25223318, -0.44588685, -0.04506956, -0.0600853
177, 1660073888, 0.86126804, 0.38862935, 0.20979635, -0.25133723, -0.4694876, -0.10445151, 0.008134842
178, 1660090555, 0.86175436, 0.38821104, 0.20964175, -0.25044388, -0.42081386, -0.10581899, 0.07002449
179, 1660107222, 0.86222136, 0.3878482, 0.20948905, -0.24952501, -0.30319583, -0.117326155, 0.057172775
180, 1660123889, 0.8626572, 0.3875528, 0.20937693, -0.24856985, -0.22658837, -0.0868071, 0.0672102
181, 1660140556, 0.8630456, 0.38734382, 0.20924607, -0.24765578, -0.15777929, -0.08436005, 0.15065576
182, 1660157223, 0.86346686, 0.3871069, 0.2091318, -0.24665192, -0.13357142, -0.05571943, 0.1675005
183, 1660173890, 0.8638904, 0.38688084, 0.20899369, -0.24563861, -0.10079665, 0.065531634, 0.23900604
184, 1660190557, 0.8643178, 0.38668084, 0.20882641, -0.24459079, -0.06725474, 0.124576315, 0.311965
185, 1660207224, 0.8646332, 0.38672322, 0.20856869, -0.24362636, -0.047495738, 0.08185896, 0.34228614
186, 1660223891, 0.86477757, 0.38712132, 0.20821404, -0.24278355, 0.17372148, 0.07882777, 0.33090115
187, 1660240558, 0.8647698, 0.38781464, 0.20784387, -0.24202144, 0.38348365, 0.12338876, 0.30873203
188, 1660257225, 0.86459386, 0.38873392, 0.20748511, -0.24148232, 0.6189043, 0.2748387, 0.3258276
189, 1660273892, 0.86437637, 0.3895622, 0.20719954, -0.24117136, 0.7826946, 0.47010562, 0.3616209
190, 1660290559, 0.8641945, 0.39013812, 0.20695591, -0.24110022, 0.7954813, 0.5008283, 0.25433826
191, 1660307226, 0.86404145, 0.39048052, 0.20672041, -0.24129677, 0.74102163, 0.44389898, 0.17772675
192, 1660323893, 0.8638338, 0.39079875, 0.20641336, -0.24178755, 0.6383941, 0.3829728, 0.033014297
193, 1660340560, 0.8635417, 0.39118603, 0.20605004, -0.24251324, 0.497336, 0.34423932, -0.07091808
194, 1660357227, 0.8631649, 0.39171302, 0.20562991, -0.24335945, 0.44975573, 0.28156433, -0.13127708
195, 1660373894, 0.86267173, 0.39242852, 0.20515361, -0.24435478, 0.4180508, 0.32764685, -0.17046356
196, 1660390561, 0.862059, 0.39333564, 0.20465684, -0.24547312, 0.35580432, 0.28218004, -0.21973133
197, 1660407228, 0.861338, 0.39445254, 0.20412725, -0.24665022, 0.25985944, 0.11334999, -0.25273705
198, 1660423895, 0.86054635, 0.39572406, 0.20359355, -0.24781477, 0.2255956, 0.018837862, -0.25653267
199, 1660440562, 0.85977066, 0.39696965, 0.20310053, -0.24891746, 0.1834367, 0.032401495, -0.1564951
200, 1660457229, 0.8590777, 0.39808056, 0.20266293, -0.24989086, 0.0888467, 6.424822E-4, -0.0846014
201, 1660473896, 0.85850537, 0.3990027, 0.20222634, -0.25073892, -0.04899242, 0.045512337, -0.094501495
