PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
39,714605074,0.165170739,0.002934646,0.007312399,0.999999587,3.72E-04,-1.23E-05,-8.29E-04
40,714621741,0.164657514,0.00498144,0.006843329,0.999999701,5.10E-04,-5.05E-05,-5.79E-04
41,714638408,0.166014912,0.006913515,0.005558668,0.999999806,2.68E-04,-1.01E-04,-5.53E-04
42,714655075,0.167764138,0.007465531,0.004095173,0.999999798,-1.23E-04,-7.00E-05,-6.19E-04
43,714671742,0.168235784,0.006517278,0.004369982,0.999999869,-1.62E-04,3.66E-07,-4.85E-04
44,714688409,0.168772208,0.005616761,0.004577599,0.999999957,-1.52E-05,8.86E-05,-2.78E-04
45,714705076,0.16863526,0.006181814,0.005018059,0.999999967,2.18E-05,1.83E-04,-1.80E-04
46,714721743,0.168171226,0.00695462,0.005729657,0.999999956,-5.56E-05,2.75E-04,-9.11E-05
47,714738410,0.167368759,0.007036126,0.006086231,0.999999934,-6.20E-05,3.47E-04,9.01E-05
48,714755077,0.167312172,0.007752335,0.006141938,0.999999875,-8.88E-05,3.66E-04,3.29E-04
49,714771744,0.167003388,0.007072708,0.006916532,0.999999759,-2.65E-04,3.85E-04,5.13E-04
50,714788411,0.163213964,0.001836949,0.009543543,0.999999689,-5.51E-04,3.14E-04,4.68E-04
51,714805078,0.160928475,-0.003081879,0.011658057,0.999999797,-5.48E-04,7.78E-05,3.15E-04
52,714821745,0.162347283,-0.004247492,0.010251132,0.999999948,-2.64E-04,-1.49E-04,1.13E-04
53,714838412,0.165099087,-0.001618399,0.007892392,0.999999946,-6.90E-05,-2.77E-04,-1.64E-04
54,714855079,0.165516291,-0.001699315,0.007852667,0.999999802,-2.14E-04,-3.23E-04,-4.96E-04
55,714871746,0.166386345,-0.002506803,0.007769755,0.999999676,-1.47E-04,-3.77E-04,-6.96E-04
56,714888413,0.169097299,-0.002999423,0.005117466,0.999999697,4.66E-04,-2.75E-04,-5.60E-04
57,714905080,0.176262988,0.001992071,-0.002143946,0.999999209,0.001225537,8.82E-05,-2.69E-04
58,714921747,0.184364279,0.011961355,-0.011384283,0.999998747,0.001313246,8.83E-04,-3.71E-05
59,714938414,0.187248793,0.015148807,-0.016082637,0.999997863,7.90E-04,0.001907061,1.16E-04
60,714955081,0.186978517,0.013313126,-0.018156502,0.9999951,5.39E-04,0.003050201,4.54E-04
61,714971748,0.179303149,0.011733888,-0.014330599,0.999990887,6.54E-04,0.004086382,0.001049139
62,714988415,0.168796102,0.009022446,-0.005617579,0.999987879,3.20E-04,0.004738156,0.001299983
63,715005082,0.146370137,-0.006076245,0.016210993,0.999988908,-4.96E-04,0.004613225,8.09E-04
64,715021749,0.131417486,-0.022934471,0.033719794,0.999994015,-4.65E-04,0.003427641,-7.15E-05
65,715038416,0.137887414,-0.027061857,0.031579965,0.999997528,6.55E-04,0.001991906,-7.40E-04
66,715055083,0.166036555,-0.014207612,0.008742926,0.999996181,0.002216462,0.001512294,-6.62E-04
67,715071750,0.200796917,0.012427076,-0.019854373,0.999992115,0.002987664,0.002610307,-1.72E-04
68,715088417,0.219684979,0.038316946,-0.040017396,0.99998584,0.001356749,0.005144015,1.35E-04
69,715105084,0.206402294,0.034475914,-0.032203815,0.999967775,-0.00171043,0.007842418,-1.40E-04
70,715121751,0.166578384,-6.23E-04,0.001964311,0.999954154,-0.002617538,0.009208778,-1.92E-04
71,715138418,0.134377014,-0.028351003,0.030074689,0.999960673,-3.30E-04,0.00885796,2.84E-04
72,715155085,0.124965301,-0.033726671,0.038705456,0.999967002,0.002836453,0.007602571,3.87E-04
73,715171752,0.13550033,-0.011214428,0.033328301,0.999972583,0.003672316,0.0064066,-5.49E-04
74,715188419,0.150731816,0.019932252,0.025505919,0.999981179,0.001100982,0.005652548,-0.002116141
75,715205086,0.174879007,0.033728689,0.012118445,0.999977891,-0.002144891,0.005662365,-0.002748439
76,715221753,0.201837575,0.030447721,-0.007778471,0.999968935,-0.002922901,0.007160831,-0.001519122
77,715238420,0.203698007,0.015180686,-0.010568047,0.999947373,-0.001360231,0.010140937,7.49E-04
78,715255087,0.164426642,-0.008181485,0.024079956,0.999922842,0.00103013,0.012233874,0.001892516
79,715271754,0.116021897,-0.015754759,0.070617488,0.999926256,0.001946188,0.01193613,0.001105909
80,715288421,0.079073923,-0.019926134,0.107364581,0.999958206,7.82E-04,0.009029826,-0.001198482
81,715305088,0.079834062,-0.014808378,0.11074505,0.999985095,3.97E-04,0.004820733,-0.002532259
82,715321755,0.128023555,0.005161483,0.075272519,0.999996217,0.001421366,0.001800896,-0.001517251
83,715338422,0.199909104,0.031581667,0.018181686,0.999995624,0.002143436,0.001959509,5.64E-04
84,715355089,0.247307699,0.052139422,-0.028655919,0.999983919,5.04E-05,0.005463212,0.001520567
85,715371756,0.232584044,0.035194157,-0.026424143,0.999938178,-0.003680249,0.010449406,9.52E-04
86,715388423,0.165926738,-0.013620782,0.031026676,0.999899022,-0.004327215,0.013534237,2.12E-04
87,715405090,0.091978031,-0.055672539,0.104378934,0.999914836,-0.001036328,0.013007742,-2.14E-04
88,715421757,0.050716146,-0.060293568,0.145360143,0.999954026,0.003224969,0.008979168,-9.60E-04
89,715438424,0.069222662,-0.030406212,0.13837768,0.999975587,0.005428438,0.004006098,-0.001818955
90,715455091,0.132799658,0.020914868,0.095494125,0.9999876,0.004282832,0.001067146,-0.002306037
91,715471758,0.196026727,0.066073594,0.046692856,0.999996522,-1.82E-05,0.001348085,-0.002266641
92,715488425,0.234741051,0.073839198,0.00681635,0.999974658,-0.005420679,0.004216959,-0.00187529
93,715505092,0.233469843,0.03546857,-0.003283159,0.999935838,-0.007196668,0.00873779,-4.22E-04
94,715521759,0.176313964,-0.022818936,0.038774543,0.999914899,-0.003052837,0.012536638,0.001925462
95,715538426,0.104169001,-0.062047082,0.105174684,0.999908135,0.002868062,0.012956205,0.002762878
96,715555093,0.048008369,-0.051347178,0.16319471,0.999929794,0.006789115,0.009616362,0.00135693
97,715571760,0.031660756,-0.011834615,0.185549821,0.999977511,0.005082188,0.003982449,-0.001813771
98,715588427,0.063849009,0.027381168,0.168030115,0.999988165,1.11E-04,-0.001585154,-0.004598335
99,715605094,0.117888195,0.050078544,0.12231464,0.999965837,-0.004341793,-0.004950725,-0.004996331
100,715621761,0.188462689,0.046762363,0.056069823,0.999963555,-0.006044004,-0.005191984,-0.003066218
101,715638428,0.257803439,0.034306952,-0.013736408,0.999988713,-0.004601814,-0.001179293,8.38E-05
102,715655095,0.285666714,0.02572598,-0.059618638,0.999975533,-0.002438297,0.006085785,0.002439421
103,715671762,0.240373327,8.94E-04,-0.037077464,0.999902553,-9.72E-04,0.013633007,0.002842462
104,715688429,0.14206244,-0.034956069,0.048747664,0.999842854,0.001725553,0.017476971,0.002417769
105,715705096,0.050461198,-0.05011501,0.141268621,0.999861997,0.004574721,0.015944649,9.09E-04
106,715721763,0.009663574,-0.029107078,0.195353551,0.999933054,0.005028768,0.010309942,-0.001517757
107,715738430,0.017280418,0.009933546,0.200272276,0.99998299,0.002304382,0.003641152,-0.003930945
108,715755097,0.078752236,0.038408936,0.164088768,0.999987337,-0.001513932,-0.001249395,-0.004633863
109,715771764,0.144437395,0.050208116,0.108237585,0.999981964,-0.004081903,-0.002671588,-0.003503193
110,715788431,0.204234042,0.045404418,0.046583947,0.999987423,-0.004808175,-7.41E-04,-0.001219231
111,715805098,0.245650642,0.035222641,-0.003329862,0.999981137,-0.004023485,0.004519592,0.001053593
112,715821765,0.222547836,0.007363498,0.002774311,0.999932259,-0.002109057,0.011137497,0.002643008
113,715838432,0.140111463,-0.036243274,0.073856996,0.999877899,0.001688465,0.0151872,0.003268932
114,715855099,0.05247072,-0.056562742,0.16454916,0.999876583,0.006195863,0.014264005,0.002229028
115,715871766,-0.001682665,-0.030538518,0.226647948,0.999931671,0.007547391,0.008924357,-2.16E-04
116,715888433,-0.003053594,0.011259064,0.236878902,0.9999832,0.004432766,0.00175952,-0.003294477
117,715905100,0.036270354,0.045192797,0.206932902,0.999976704,-8.88E-04,-0.004290346,-0.00523419
118,715921767,0.089253616,0.052350525,0.1537219,0.999946012,-0.004670165,-0.00789916,-0.004875064
119,715938434,0.155103525,0.043118581,0.08182685,0.999944193,-0.005600909,-0.008558033,-0.002646019
120,715955101,0.23954015,0.029496118,-0.001907585,0.999982161,-0.003610478,-0.004745435,3.50E-04
121,715971768,0.299497165,0.035602833,-0.068379663,0.999989129,-0.001621021,0.003676871,0.0023655
122,715988435,0.276520746,0.028251233,-0.069058174,0.999898805,-0.001422807,0.013848328,0.002929048
123,716005102,0.165848334,-0.020493293,0.027928742,0.999777076,0.001812817,0.020710819,0.00368423
124,716021769,0.048405743,-0.040687922,0.149847536,0.999756321,0.005505453,0.021164166,0.003011229
125,716038436,-0.027907325,-0.023617284,0.244881827,0.999858383,0.006892218,0.015329386,8.49E-04
126,716055103,-0.058875898,0.012846661,0.281544466,0.999968389,0.003252036,0.006823529,-0.002466713
127,716071770,-0.033210512,0.034049272,0.27251828,0.999983941,-0.00213199,-0.002009195,-0.004851331
128,716088437,0.029667163,0.033274845,0.216296933,0.999944102,-0.004993091,-0.007962103,-0.004844221
129,716105104,0.107001357,0.021786072,0.139180148,0.99993845,-0.004229044,-0.009903572,-0.002670334
130,716121771,0.194988172,0.011389237,0.050173288,0.999972124,-7.17E-04,-0.007408893,5.88E-04
131,716138438,0.26680488,0.029915289,-0.02866087,0.999991533,0.00255135,-3.03E-04,0.003214472
132,716155105,0.278762051,0.054922532,-0.064107731,0.99995189,0.001307894,0.009020658,0.00362427
133,716171772,0.207732492,0.019972863,-0.016334829,0.999845314,-1.96E-04,0.017253929,0.003407661
134,716188439,0.098246072,-0.016100729,0.083936826,0.999791652,4.40E-04,0.020238531,0.00261942
135,716205106,0.014290378,-0.04065581,0.183275947,0.999833278,0.002391184,0.018071757,0.0010532
136,716221773,-0.044311067,-0.0214823,0.257642613,0.999925139,0.002947308,0.011820624,-0.001140982
137,716238440,-0.061973423,0.012680592,0.287686564,0.999987797,5.06E-05,0.003353506,-0.003627203
138,716255107,-0.025283984,0.034523733,0.253514181,0.999968971,-0.004156117,-0.004389852,-0.005051128
139,716271774,0.045453265,0.033641412,0.185706973,0.999932772,-0.00637769,-0.008527832,-0.004588357
140,716288441,0.128236402,0.030692221,0.107635803,0.999943085,-0.005743302,-0.008670192,-0.002380811
141,716305108,0.208094398,0.027400862,0.025021102,0.999980395,-0.004023903,-0.004774018,4.75E-04
142,716321775,0.263571491,0.018875662,-0.036519263,0.99998994,-0.001801684,0.002916383,0.00289298
143,716338442,0.254562428,0.013474319,-0.051461481,0.999915951,-0.001021942,0.0124339,0.0035277
144,716355109,0.159505147,-0.034933709,0.027584883,0.999796546,0.001142078,0.019864779,0.003309355
145,716371776,0.046231159,-0.054451802,0.142632994,0.99975219,0.005301073,0.021533148,0.001944318
146,716388443,-0.032480956,-0.020479452,0.23346541,0.999820471,0.006797413,0.01767718,-5.82E-04
147,716405110,-0.062084182,0.031135572,0.28110532,0.999931866,0.003218092,0.010695967,-0.003391777
148,716421777,-0.076520528,0.054166116,0.292679377,0.999981794,-0.002535926,0.00231559,-0.004961659
