PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
133,470861715,0.031721783,-0.007677075,0.177431193,0.999988922,-2.44E-04,0.004667222,5.59E-04
134,470878382,0.032158491,-0.007850145,0.179196774,0.999991056,-4.64E-04,0.004186811,3.78E-04
135,470895049,0.030850574,-0.011096853,0.182830035,0.999992894,-6.24E-04,0.003714996,1.45E-04
136,470911716,0.027048969,-0.013409406,0.185484035,0.999994884,-1.36E-04,0.003179552,3.23E-04
137,470928383,0.024670178,-0.012263395,0.185823733,0.999996442,4.63E-04,0.002539248,6.73E-04
138,470945050,0.026203112,-0.010207933,0.184895713,0.999997968,3.38E-04,0.00190468,5.67E-04
139,470961717,0.027425281,-0.008936826,0.182219187,0.999999064,-4.01E-04,0.001305094,9.32E-05
140,470978384,0.028959354,-0.011847193,0.180198179,0.999999111,-9.55E-04,8.23E-04,-4.35E-04
141,470995051,0.030615398,-0.010699213,0.176754842,0.999999329,-9.56E-04,4.45E-04,-4.80E-04
142,471011718,0.033563647,-0.008234907,0.172849033,0.999999521,-8.96E-04,2.19E-04,-3.29E-04
143,471028385,0.035583513,-0.007615327,0.169571477,0.999999359,-0.001084988,1.06E-04,-3.07E-04
144,471045052,0.036744196,-0.011663782,0.167009939,0.999999182,-0.001228501,4.41E-05,-3.53E-04
145,471061719,0.037051016,-0.016342746,0.165446131,0.999999619,-7.97E-04,4.66E-05,-3.54E-04
146,471078386,0.036688103,-0.01510662,0.163525549,0.999999978,5.34E-05,1.02E-04,-1.76E-04
147,471095053,0.036199941,-0.009181854,0.161643164,0.999999852,5.20E-04,1.23E-04,1.02E-04
148,471111720,0.038014012,-0.00576221,0.160091556,0.99999995,2.88E-04,1.29E-04,2.45E-05
149,471128387,0.03785482,-0.007047855,0.159718942,0.999999938,-2.37E-04,1.31E-04,-2.25E-04
150,471145054,0.0374146,-0.009562386,0.160134719,0.99999966,-6.03E-04,1.54E-04,-5.40E-04
151,471161721,0.035550079,-0.010083408,0.162154648,0.999999594,-5.92E-04,2.42E-04,-6.34E-04
152,471178388,0.032664033,-0.010567653,0.163943979,0.999999867,-2.48E-04,2.32E-04,-3.89E-04
153,471195055,0.032072465,-0.010787724,0.163344557,0.999999967,2.24E-04,1.23E-04,-3.16E-05
154,471211722,0.033949935,-0.011624266,0.161273029,0.999999905,4.23E-04,7.21E-05,7.16E-05
155,471228389,0.035400611,-0.01007836,0.160066854,0.999999947,2.03E-04,1.51E-04,-2.05E-04
156,471245056,0.03400556,-0.007348724,0.161893783,0.999999875,-9.25E-05,1.92E-04,-4.53E-04
157,471261723,0.032363128,-0.004758424,0.163472083,0.999999916,-2.33E-04,8.13E-05,-3.26E-04
158,471278390,0.03266776,-0.00476117,0.163002605,0.999999969,-2.35E-04,-7.82E-05,3.66E-05
159,471295057,0.034325907,-0.007018855,0.161519886,0.999999914,-3.28E-04,-1.42E-04,2.09E-04
160,471311724,0.035316313,-0.008836514,0.160536787,0.999999847,-5.29E-04,-1.33E-04,8.92E-05
161,471328391,0.034580876,-0.010322589,0.161243434,0.999999875,-4.94E-04,-6.12E-05,3.04E-05
162,471345058,0.033466485,-0.009651426,0.163108502,0.999999943,-2.54E-04,-4.99E-05,2.15E-04
163,471361725,0.032578694,-0.010296496,0.163666754,0.999999926,-6.55E-05,-8.57E-05,3.68E-04
164,471378392,0.032869806,-0.011296939,0.162958998,0.999999909,-5.81E-05,-2.17E-04,3.63E-04
165,471395059,0.034134369,-0.012139239,0.162410984,0.99999992,-1.64E-04,-3.00E-04,2.09E-04
166,471411726,0.034035186,-0.012764336,0.162616768,0.999999904,-2.43E-04,-3.61E-04,5.65E-05
167,471428393,0.034251821,-0.01301156,0.162162652,0.999999879,-2.33E-04,-4.32E-04,9.52E-06
168,471445060,0.036435858,-0.012638265,0.160195846,0.999999887,-1.09E-04,-4.62E-04,3.97E-05
169,471461727,0.038818114,-0.012205269,0.158301357,0.999999923,3.11E-05,-3.80E-04,9.65E-05
170,471478394,0.039172727,-0.012734775,0.157978498,0.999999954,1.46E-04,-2.27E-04,1.36E-04
171,471495061,0.037764654,-0.013537052,0.158195946,0.999999972,1.88E-04,-1.13E-04,8.88E-05
172,471511728,0.037519497,-0.013466813,0.158293637,0.999999984,1.33E-04,-8.05E-05,-8.25E-05
173,471528395,0.038452407,-0.012131136,0.158021283,0.999999959,-3.39E-05,-3.40E-05,-2.81E-04
174,471545062,0.038322811,-0.012699503,0.158570271,0.999999934,-5.87E-05,3.16E-05,-3.56E-04
175,471561729,0.037006555,-0.013259663,0.15947164,0.999999933,3.08E-04,9.52E-05,-1.74E-04
176,471578396,0.037301306,-0.010330146,0.159309686,0.999999747,6.78E-04,1.84E-04,1.12E-04
177,471595063,0.037020643,-0.006056859,0.158840202,0.999999832,4.90E-04,2.32E-04,2.07E-04
178,471611730,0.0370466,-0.008502981,0.160368574,0.999999969,-9.54E-05,2.19E-04,7.73E-05
179,471628397,0.034598358,-0.014720243,0.16201468,0.999999942,-2.85E-04,1.48E-04,-1.09E-04
180,471645064,0.032530751,-0.016087494,0.162697905,0.999999971,1.12E-05,7.32E-05,-2.29E-04
181,471661731,0.032782179,-0.011494158,0.162858328,0.999999938,2.13E-04,-5.28E-05,-2.77E-04
