PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
178,597491776,0.044030021,-0.009918902,0.171489216,0.999982593,0.002707518,0.004952006,0.001720833
179,597508443,0.025586338,-0.009803195,0.187311553,0.999990835,0.002338974,0.003507358,7.47E-04
180,597525110,0.025105566,-6.71E-04,0.183999959,0.999997609,0.00164308,0.001442664,-3.58E-05
181,597541777,0.044752417,0.013463743,0.168653344,0.999999921,2.37E-04,-2.17E-04,-2.35E-04
182,597558444,0.064942465,0.02140809,0.146695861,0.999997269,-0.002140185,-7.79E-04,-5.26E-04
183,597575111,0.083941237,0.016300129,0.127087473,0.999988868,-0.004643046,-8.81E-05,-8.35E-04
184,597591778,0.094183522,-0.001657057,0.112868928,0.99998331,-0.005466345,0.00173709,-6.93E-04
185,597608445,0.092445574,-0.020141868,0.113237872,0.999983264,-0.003809073,0.004353895,8.13E-05
186,597625112,0.069261234,-0.034215229,0.135863757,0.999977872,-1.10E-04,0.006559198,0.001104379
187,597641779,0.039983993,-0.031432558,0.163623925,0.999966686,0.003583997,0.007095581,0.001853461
188,597658446,0.022614747,-0.016473608,0.181726148,0.999965314,0.005483422,0.00596557,0.001927557
189,597675113,0.014224128,0.003334744,0.184494824,0.999980884,0.004489516,0.004108089,0.001095103
190,597691780,0.020299657,0.020597372,0.182562332,0.99999764,8.53E-04,0.001958637,-3.94E-04
191,597708447,0.031943792,0.021873605,0.171095743,0.999992739,-0.003357403,2.48E-04,-0.001785796
192,597725114,0.048937215,0.007380653,0.153757032,0.999979501,-0.005906251,-4.54E-04,-0.002430444
193,597741781,0.068505842,-0.008462755,0.133770986,0.999982231,-0.005597204,2.70E-04,-0.002033719
194,597758448,0.083926114,-0.016744826,0.118436742,0.999991359,-0.003329052,0.002321385,-9.00E-04
195,597775115,0.082631793,-0.015788899,0.118294821,0.999986622,-2.71E-04,0.005136329,5.48E-04
196,597791782,0.063547478,-0.013095182,0.137347698,0.999969943,0.002093151,0.007279209,0.001656647
197,597808449,0.03195031,-0.015295801,0.167478648,0.999960199,0.003714906,0.00784071,0.002079174
198,597825116,0.005701225,-0.014574332,0.194528764,0.999970263,0.004013827,0.006408207,0.001515573
199,597841783,-0.00998624,-0.002656237,0.203848477,0.999989348,0.002511975,0.003871821,-4.69E-05
200,597858450,-0.002350567,0.009920996,0.200193165,0.999998005,-5.38E-04,8.15E-04,-0.001742407
201,597875117,0.021665656,0.014664379,0.179348474,0.999990179,-0.003404411,-0.001051252,-0.002635606
202,597891784,0.047402587,0.008129112,0.155256319,0.999984329,-0.004811707,-0.001371442,-0.002511496
203,597908451,0.068397032,-0.004543383,0.134483966,0.999989607,-0.004287505,-1.82E-04,-0.001539353
204,597925118,0.074303679,-0.016295294,0.124142143,0.999995376,-0.002135381,0.002152918,-2.32E-04
205,597941785,0.063011764,-0.023414428,0.13239481,0.999988557,6.83E-04,0.004662207,8.27E-04
206,597958452,0.039825488,-0.024485343,0.154487081,0.999975758,0.003057247,0.006142831,0.00118443
207,597975119,0.011066053,-0.016928363,0.180787647,0.999972101,0.004348519,0.006012066,8.62E-04
208,597991786,-0.007104357,-0.002740777,0.198853367,0.999982911,0.003957131,0.004301448,1.29E-04
209,598008453,-0.006991004,0.012651248,0.199892214,0.99999603,0.001829233,0.001948527,-8.93E-04
210,598025120,6.84E-04,0.020996873,0.185685439,0.999997765,-0.001215497,-1.42E-04,-0.001724151
211,598041787,0.025020376,0.012577999,0.163649348,0.999991528,-0.003384196,-0.001184119,-0.002022204
212,598058454,0.048653062,-9.47E-04,0.14168919,0.999990387,-0.003880739,-8.95E-04,-0.001834591
213,598075121,0.065849166,-0.008839584,0.120864122,0.999995771,-0.002642247,6.19E-04,-0.001045661
214,598091788,0.077834667,-0.007982914,0.106000708,0.999994448,-0.00108137,0.003151456,-4.64E-05
215,598108455,0.07110807,-0.01133135,0.109258916,0.999981257,8.56E-05,0.006098036,5.41E-04
216,598125122,0.046958713,-0.017025263,0.130378272,0.999965337,0.001410635,0.008169946,7.67E-04
217,598141789,0.016237736,-0.019631311,0.160994365,0.99995649,0.002854492,0.008841858,8.32E-04
218,598158456,-0.004026707,-0.010089978,0.184552136,0.999963373,0.003198631,0.007933493,2.84E-04
219,598175123,-0.024002928,0.006884424,0.191266858,0.999978922,0.001428481,0.006262032,-9.50E-04
220,598191790,-0.019739297,0.010498084,0.197157143,0.999988496,-0.00110126,0.004191858,-0.002054855
221,598208457,-0.014857399,0.00250541,0.194426566,0.999991626,-0.002355748,0.002403121,-0.002328899
222,598225124,-0.004181715,-0.005211146,0.18660649,0.999996583,-0.001611377,0.0012171,-0.001660169
223,598241791,0.004898671,-0.004664134,0.176703707,0.999999424,-1.69E-04,7.56E-04,-7.42E-04
224,598258458,0.018807068,0.002210668,0.165424732,0.999999417,5.13E-04,9.49E-04,-3.46E-05
225,598275125,0.025007068,0.001213484,0.16301126,0.999998297,5.22E-04,0.001730342,3.73E-04
226,598291792,0.011915022,-0.009304217,0.176932202,0.999996834,7.58E-04,0.002332796,5.63E-04
227,598308459,-0.010035365,-0.013585587,0.195575768,0.999997661,0.001234882,0.001768627,1.57E-04
228,598325126,-0.014735158,-0.003812766,0.200241115,0.999999337,9.98E-04,2.43E-04,-5.21E-04
229,598341793,-0.003945433,0.007728182,0.188297996,0.999998697,-1.63E-04,-0.001234509,-0.001027427
230,598358460,0.018430349,0.011966369,0.167153357,0.9999967,-0.001457579,-0.001847967,-0.001030024
231,598375127,0.040459712,0.00633285,0.146072013,0.999997143,-0.00200295,-0.001236595,-4.15E-04
232,598391794,0.050394352,-6.27E-04,0.131756513,0.999998466,-0.001640389,3.51E-04,5.04E-04
233,598408461,0.050505634,-0.005246452,0.125008651,0.999996015,-0.00117027,0.002371942,9.87E-04
234,598425128,0.039869273,-0.014059473,0.131668504,0.999989766,-6.26E-04,0.004367789,9.99E-04
235,598441795,0.015107403,-0.026263877,0.155829715,0.999984388,9.48E-04,0.00544035,8.53E-04
236,598458462,-0.011497622,-0.020354485,0.180646169,0.999984009,0.002666087,0.004930419,7.52E-04
237,598475129,-0.020061429,-0.001063578,0.187045499,0.999991448,0.002482273,0.003297756,2.60E-04
238,598491796,-0.016327932,0.0128813,0.181572703,0.999998559,1.51E-04,0.001599065,-5.50E-04
239,598508463,-0.004963068,0.010995671,0.172431395,0.999996447,-0.002243165,7.43E-04,-0.001233539
240,598525130,3.92E-05,5.01E-04,0.166027152,0.999993814,-0.003229614,5.67E-04,-0.001272989
241,598541797,0.001930308,-0.014290997,0.165473787,0.999996316,-0.002431967,8.10E-04,-8.93E-04
242,598558464,8.45E-04,-0.021417571,0.168199058,0.999999411,-2.06E-04,0.001049227,-1.87E-04
243,598575131,0.001512688,-0.013507637,0.16739811,0.9999977,0.001790445,0.001075917,4.87E-04
244,598591798,0.00671571,0.001556875,0.164909935,0.99999747,0.00183193,0.001133803,6.47E-04
245,598608465,0.005087183,0.003768323,0.167313795,0.999999242,2.97E-04,0.001170428,2.43E-04
246,598625132,-0.001584901,-0.007922861,0.173542878,0.999999396,-5.54E-04,9.33E-04,-1.74E-04
247,598641799,-0.003737009,-0.014302443,0.174532536,0.999999859,-1.89E-05,4.98E-04,-1.82E-04
248,598658466,0.001366632,-0.007539168,0.170088316,0.999999837,5.20E-04,2.16E-04,-9.03E-05
249,598675133,0.004123279,-0.002613575,0.166980299,0.999999941,1.97E-04,2.19E-04,-1.74E-04
250,598691800,0.001415146,-0.004812991,0.167819833,0.999999916,-1.66E-04,2.95E-04,-2.32E-04
251,598708467,9.78E-04,-0.007232201,0.167785715,0.999999948,-7.32E-05,2.94E-04,-1.11E-04
252,598725134,0.002296203,-0.007947394,0.166866487,0.99999992,1.67E-04,3.59E-04,-5.12E-05
253,598741801,5.11E-04,-0.007056025,0.167772138,0.999999877,2.49E-04,4.12E-04,-1.21E-04
